City;Code;Name;Price Retail;Price Discount;Address;Quantity;Availability
Санкт-Петербург;Т00008096;Лакомство для птиц PADOVAN Biscuit Classic бисквиты яичные;298.00;298.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0051828;Маска Pride защитная (для людей) многоразовая двухслойная Крейзи кэт, размер L,XL;248.00;248.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0069636;Игрушка-антистресс БЕТХОВЕН Серый кот 20см;448.00;448.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0069645;Игрушка-антистресс БЕТХОВЕН Капибара 20см;448.00;448.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0051822;Маска PRIDE защитная многоразовая двухслойная Лав Догс размер L,XL;248.00;248.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069649;Сумка-шоппер БЕТХОВЕН Манул 40х35см белая;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0051821;Маска Pride защитная (для людей) многоразовая двухслойная Лав Догс, размер S,M;198.00;198.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0051827;Маска Pride защитная (для людей) многоразовая двухслойная Крейзи кэт, размер S,M;198.00;198.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069651;Сумка-шоппер БЕТХОВЕН Сурикаты 40х35см белая;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069648;Сумка-шоппер БЕТХОВЕН Фламинго 40х35см белая;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069634;Игрушка-антистресс БЕТХОВЕН Рыжий кот 20см;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0051810;Маска Pride защитная (для людей) многоразовая двухслойная Вуф белая, размер L,XL;248.00;248.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069650;Сумка-шоппер БЕТХОВЕН Пумы 40х35см черная;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069635;Игрушка-антистресс БЕТХОВЕН Рыжий кот 30см;848.00;848.00;Заневский пр-т., д 67к2;достаточно;True
Санкт-Петербург;ПР0069637;Игрушка-антистресс БЕТХОВЕН Серый кот 30см;848.00;848.00;Заневский пр-т., д 67к2;мало;True
Санкт-Петербург;ПР0069640;Игрушка-антистресс БЕТХОВЕН Шпиц 20см;448.00;448.00;Заневский пр-т., д 67к2;достаточно;True
